Window_Minutes,Trial_ID,Model,Target,Cell,RMSE,MAE,MedAE,RMSE_frac,MAE_frac,MedAE_frac,r,R2,m,c
1,9,Random Forest,RUL,6,1579.5967681658506,1458.55,1458.0,0.600607136184734,0.5545817490494297,0.5543726235741445,0.938229139404354,-0.14528869457449733,1.1398308546773166,1070.1448521986604
1,9,Random Forest,RUL,7,2236.402798371192,2037.109375,2229.5,0.5271815067983657,0.48020257826887663,0.5255543278084714,0.9718043621387977,0.11320007047256009,0.5945516313228888,-269.2307485025674
1,9,Random Forest,RUL,8,886.0485045306224,598.3968253968254,338.0,0.21461382462679435,0.14494040753556325,0.08186851211072664,0.9637434455618741,0.8588983408729673,0.7139936422545541,1516.2421214220703
1,10,Random Forest,RUL,1,593.0749990898744,526.9545454545455,466.0,0.1455669391592849,0.1293380438824842,0.11437709185570845,0.9882052838257824,0.9437282313643467,0.9308755676590873,-156.32485065952176
1,10,Random Forest,RUL,2,816.4448752824651,550.265625,319.0,0.21052567291731575,0.14188960515713134,0.08225624496373891,0.956135861088252,0.869165072616832,1.0873799766537418,-588.4173469602912
1,10,Random Forest,RUL,3,331.22473960288653,259.203125,215.0,0.08335974571209098,0.06523397561934723,0.054109319701140385,0.991498889794832,0.980392811986364,0.9323443815118742,250.5284965864135
1,10,Random Forest,RUL,4,2148.2733247372826,2091.5555555555557,1917.0,0.8089732185203156,0.7876150627615063,0.7218828451882845,0.9921467884412334,-1.3450306787529014,1.3082051000564578,1273.099789850072
1,10,Random Forest,RUL,5,1365.8956862224236,1259.8461538461538,1301.0,0.543016633666407,0.5008562691131498,0.517217125382263,0.9202162482919016,0.0359026316862362,0.9014695450097846,1497.7907085779505
1,10,Random Forest,RUL,6,1461.0005759502046,1329.4634146341464,1299.0,0.5640397703762561,0.5132580037664785,0.501497175141243,0.9398051584920537,-0.009217809167004098,1.1830602245623512,819.0001012555683
1,10,Random Forest,RUL,7,2146.038821454171,1920.6521739130435,2066.0,0.5450006576383429,0.48776223776223776,0.5246742730953257,0.9588178747111014,0.21606298005933489,0.5566869300585839,-68.5338970567726
1,10,Random Forest,RUL,8,1205.6177241456735,866.7096774193549,456.5,0.323305791077127,0.23242214532871974,0.12241782006920415,0.8993998466044868,0.7409272416185056,0.6418995148044008,1768.9489060842345
1,11,Random Forest,RUL,1,589.866189243053,523.2727272727273,477.0,0.1472434511726229,0.13062027231467474,0.11906959152798789,0.987843496112323,0.9381282196567658,0.9601308845381359,-299.2213010891392
1,11,Random Forest,RUL,2,851.6147768712588,588.3927419354839,365.0,0.22956572246094803,0.15861021739130435,0.09839130434782609,0.9574166607214338,0.8659248087285747,1.099100417444165,-646.7765485831891
